model_slug	variant_code	accessory_code	accessory_name	price	description	image	sort_order
l03	all	tow-hitch	Теглич с ръчно управление	990	1 500 кг със спирачки / 750 кг без спирачки	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fffa86f6416bae8ae961d_l03-towbar.webp	1
l03	awd-ultra	black-edition	Black Edition	1200	Елементи на екстериора в опушен черен цвят | Предни и задни спирачни апарати в черен цвят | 20" джанти с гуми висок клас | При избор на Black Edition отпада опция О2 (20" джанти с жълти апарати)	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff177a44660e8b141c20_l03-black-edition-front.webp	2
